Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.6859383,0.4812342,9.497791,-0.39999998,-29.4,-44.4,-0.0074494,-0.0031926,-0.015963,,0.03530703,-0.016807955,-0.99778855,0.05374947
-0.7003035,0.4692632,9.476244,-0.39999998,-30.0,-44.4,-0.0074494,-0.0021284,-0.015963,,0.035290252,-0.016762048,-0.9978,0.053562693
-0.706289,0.4896139,9.497791,-0.39999998,-30.0,-44.4,-0.0085136,-0.005321,-0.015963,,0.03529618,-0.016748307,-0.9978072,0.05342749
-0.6931209,0.4848255,9.508565,-0.39999998,-30.0,-44.4,-0.005321,-0.0042568,-0.015963,,0.035267092,-0.016725913,-0.99781585,0.05329387
-0.7003035,0.502782,9.497791,-0.39999998,-29.4,-43.8,-0.0063852,-0.0042568,-0.015963,,0.035244845,-0.016729362,-0.9978254,0.053127035
-0.6883325,0.4776429,9.495398,-0.39999998,-29.4,-43.8,-0.0063852,-0.0031926,-0.0170272,,0.035224747,-0.016723195,-0.9978334,0.052991442
-0.7026977,0.4920081,9.461879,0.20000005,-30.6,-43.2,-0.005321,-0.0021284,-0.015963,,0.03522228,-0.016722674,-0.9978412,0.052846912
-0.6955151,0.4692632,9.500186,0.20000005,-30.6,-43.2,-0.0074494,-0.0042568,-0.0148988,,0.0352248,-0.016721848,-0.99784917,0.05269456
-0.682347,0.4860226,9.489411,-0.39999998,-30.0,-43.8,-0.0063852,-0.0031926,-0.0138346,,0.03519362,-0.016697232,-0.99785954,0.052526116
-0.6967122,0.4884168,9.489411,-0.39999998,-30.0,-43.8,-0.0074494,-0.0021284,-0.0148988,,0.035188165,-0.0166981,-0.99786574,0.05241173
-0.7026977,0.4932052,9.4882145,-0.39999998,-30.0,-43.8,-0.0074494,-0.0042568,-0.015963,,0.035190474,-0.01667504,-0.99787426,0.052256014
-0.6955151,0.4944023,9.497791,-0.39999998,-29.4,-43.8,-0.0063852,-0.0042568,-0.0170272,,0.03517472,-0.016669363,-0.9978818,0.05212235
-0.7026977,0.4776429,9.4942,-0.39999998,-29.4,-43.8,-0.005321,-0.0042568,-0.015963,,0.035161782,-0.016664745,-0.99789006,0.051975172
-0.7134716,0.4967965,9.491806,0.20000005,-30.0,-44.4,-0.0074494,-0.0042568,-0.0148988,,0.03514763,-0.016670166,-0.9978991,0.05181034
-0.6979093,0.4991907,9.4942,0.20000005,-30.0,-44.4,-0.0063852,-0.0042568,-0.0170272,,0.035132803,-0.016667224,-0.9979067,0.051673505
-0.6979093,0.4991907,9.493003,-0.39999998,-30.0,-45.0,-0.0085136,-0.0042568,-0.0148988,,0.035119966,-0.016675225,-0.997915,0.05152005
-0.7086832,0.4932052,9.477441,-0.39999998,-30.0,-45.0,-0.005321,-0.0042568,-0.015963,,0.035102177,-0.016644124,-0.997924,0.051367037
-0.6931209,0.490811,9.471456,0.20000005,-29.4,-43.2,-0.005321,-0.005321,-0.015963,,0.03508875,-0.016659493,-0.99793094,0.051236063
-0.6919238,0.4836284,9.5121565,0.20000005,-29.4,-43.2,-0.005321,-0.0042568,-0.0138346,,0.03505289,-0.016662316,-0.9979414,0.051057428
-0.6931209,0.4884168,9.493003,0.20000005,-29.4,-43.2,-0.0085136,-0.0031926,-0.015963,,0.035038475,-0.016677795,-0.99794793,0.050931305
-0.6979093,0.4776429,9.484623,0.79999995,-30.6,-43.2,-0.0074494,-0.0042568,-0.0148988,,0.035035074,-0.016658025,-0.99795586,0.050786395
-0.694318,0.4967965,9.489411,0.79999995,-30.6,-43.2,-0.0074494,-0.0031926,-0.0170272,,0.0350121,-0.01664389,-0.9979661,0.050604958
-0.6883325,0.5051762,9.51934,-0.39999998,-31.2,-45.0,-0.0074494,-0.0031926,-0.0148988,,0.035005514,-0.016649017,-0.99797463,0.05043902
-0.694318,0.4764458,9.476244,-0.39999998,-31.2,-45.0,-0.0063852,-0.005321,-0.015963,,0.03500181,-0.016639903,-0.9979812,0.050315354
-0.6907267,0.4872197,9.485821,-0.39999998,-29.4,-45.0,-0.0063852,-0.0021284,-0.0148988,,0.034967825,-0.01663553,-0.9979907,0.05015117
-0.7122745,0.4848255,9.4942,-0.39999998,-29.4,-45.0,-0.005321,-0.0042568,-0.0148988,,0.03498319,-0.016639996,-0.9979961,0.0500315
-0.6883325,0.5003878,9.493003,0.20000005,-30.6,-44.4,-0.0074494,-0.0042568,-0.015963,,0.03496109,-0.016654193,-0.998004,0.049883462
-0.6883325,0.5039791,9.477441,0.20000005,-30.6,-44.4,-0.005321,-0.0042568,-0.0148988,,0.034946173,-0.016659698,-0.9980118,0.049737792
-0.6967122,0.4836284,9.489411,0.20000005,-30.6,-44.4,-0.0063852,-0.005321,-0.015963,,0.034936246,-0.016677165,-0.9980185,0.049604356
-0.6991064,0.4932052,9.495398,0.20000005,-31.2,-43.2,-0.0074494,-0.0031926,-0.015963,,0.034906726,-0.01667719,-0.99802834,0.049426842
-0.6799528,0.4896139,9.500186,0.20000005,-31.2,-43.2,-0.0074494,-0.0031926,-0.015963,,0.034898136,-0.016678331,-0.99803567,0.049281742
-0.6847412,0.4920081,9.51096,0.20000005,-29.4,-44.4,-0.0074494,-0.0031926,-0.015963,,0.03488541,-0.01666615,-0.99804515,0.049102977
